Name,Price
"Dell Inspiron 13 5000 Series Convertible Laptop, Intel Core i5, 8GB RAM, 256GB SSD, 13.3”, Full HD, Era Grey",£729.95
"Acer Swift 3 SF315-52 Laptop, Intel Core i5, 8GB RAM + 16GB Intel Optane, 1TB HDD, 15.6"", Sparkly Silver",£649.95
"Dell Inspiron 17-5770 Laptop, Intel® Core™ i5, 8GB RAM, AMD Radeon, 1TB HDD + 128GB SSD, 17.3"" Full HD, Silver",£749.95
"2017 Apple MacBook Air 13.3"", Intel Core i5, 8GB RAM, 128GB PCIe-based SSD",£798.00
"HP Pavilion 15 Laptop, Intel Core i5, 8GB, 256GB SSD, 15.6” Full HD",£649.99
"Samsung Galaxy Book, Intel Core m3, 4GB RAM, 64GB eMMC, 10.6"", Black",£649.00
"Dell Inspiron 13 5000 Series Convertible Laptop, Intel Core i5, 8GB RAM, 256GB SSD, 13.3”, Full HD, Grey",£649.00
"Lenovo IdeaPad 530S Laptop, Intel Core i5, 8GB RAM, 256GB SSD, 15.6” Full HD, Mineral Grey",£699.95
"HP Pavilion x360 14-ba104na Convertible Laptop, Intel Core i5, 8GB RAM, 256GB SSD, 14.3”, Full HD, Silver",£699.99
"Dell Inspiron 15-5575 Laptop, Intel® Core™ i7, 8GB RAM, AMD Radeon, 256GB SSD, 15.6"" Full HD, Silver",£799.99
"Dell Inspiron 13 5000 Laptop, Intel Core i5-8250U, 8GB RAM, 256GB SSD, 13.3"" Full HD, Silver",£649.00
"Lenovo IdeaPad 720 Laptop, Intel Core i7, 8GB, 256GB SSD, AMD RX560, 15.6” Full HD, Mineral Grey",£949.95
"HP Pavilion 15-cx0999na Gaming Laptop, Intel Core i5, 8GB RAM, 1TB HDD + 16GB Intel Optane Memory, NVIDIA GeForce GTX 1050, 15.6”, Full HD, Shadow Black",£779.95
"Dell Inspiron 14 5000 Series Convertible Laptop, Intel Core i5, 8GB RAM, 256GB SSD, 14”, Silver",£729.95
"Dell Inspiron 15-5570 Laptop, Intel® Core™ i5, 8GB RAM, AMD Radeon, 256GB SSD, 15.6"" Full HD, Silver",£699.95
"Lenovo IdeaPad 330S Laptop, Intel Core i5, 8GB RAM, 1TB HDD + 16GB Intel Optane, 14” Full HD, Grey",£649.95
"HP x2 12-f000na Chromebook, Intel Core M3, 8GB RAM, 64GB eMMC, 12.3”, Ceramic White, with HP Stylus",£799.00
"Samsung Galaxy Tab S4 Tablet with S Pen, Android, 64GB, 4GB RAM, Wi-Fi, 10.5"", Black & Samsung Galaxy Tab S4 Keyboard Book Cover, Black",£663.50
"Dell Inspiron 15-5575 Laptop, AMD Ryzen 7, 8GB RAM, 256GB SSD, 15.6” Full HD, Silver",£699.95
"Dell Inspiron 15 Gaming Laptop, Intel Core i5-7300HQ, 8GB RAM, 1TB Hybrid HDD, GeForce GTX 1050, 15.6"" Full HD, Red",£729.95
"Dell Inspiron G3 15-3000 Laptop, Intel® Core™ i5, 8GB RAM, NVIDIA GeForce GTX 1050, 256GB SSD, 15.6"" Full HD, Black",£779.95
"ASUS NovaGo TP370QL Convertible Laptop, Qualcomm Snapdragon 835 Processor, 6GB RAM, 128GB SSD, 13.3”, Full HD, 4G LTE, with 24GB data included*, Star Grey",£699.95
